Team,Season,Conf
CHI,2011,east
CHV,2011,west
CLB,2011,east
COL,2011,west
DCU,2011,east
FCD,2011,west
HOU,2011,east
LAG,2011,west
NER,2011,east
NYRB,2011,east
PHI,2011,east
POR,2011,west
RSL,2011,west
SEA,2011,west
SJE,2011,west
SKC,2011,east
TOR,2011,east
VAN,2011,west
CHI,2012,east
CHV,2012,west
CLB,2012,east
COL,2012,west
DCU,2012,east
FCD,2012,west
HOU,2012,east
LAG,2012,west
MTL,2012,east
NER,2012,east
NYRB,2012,east
PHI,2012,east
POR,2012,west
RSL,2012,west
SEA,2012,west
SJE,2012,west
SKC,2012,east
TOR,2012,east
VAN,2012,west
CHI,2013,east
CHV,2013,west
CLB,2013,east
COL,2013,west
DCU,2013,east
FCD,2013,west
HOU,2013,east
LAG,2013,west
MTL,2013,east
NER,2013,east
NYRB,2013,east
PHI,2013,east
POR,2013,west
RSL,2013,west
SEA,2013,west
SJE,2013,west
SKC,2013,east
TOR,2013,east
VAN,2013,west
CHI,2014,east
CHV,2014,west
CLB,2014,east
COL,2014,west
DCU,2014,east
FCD,2014,west
HOU,2014,east
LAG,2014,west
MTL,2014,east
NER,2014,east
NYRB,2014,east
PHI,2014,east
POR,2014,west
RSL,2014,west
SEA,2014,west
SJE,2014,west
SKC,2014,east
TOR,2014,east
VAN,2014,west
CHI,2015,east
CLB,2015,east
COL,2015,west
DCU,2015,east
FCD,2015,west
HOU,2015,west
LAG,2015,west
MTL,2015,east
NER,2015,east
NYC,2015,east
NYRB,2015,east
ORL,2015,east
PHI,2015,east
POR,2015,west
RSL,2015,west
SEA,2015,west
SJE,2015,west
SKC,2015,west
TOR,2015,east
VAN,2015,west
CHI,2016,east
CLB,2016,east
COL,2016,west
DCU,2016,east
FCD,2016,west
HOU,2016,west
LAG,2016,west
MTL,2016,east
NER,2016,east
NYC,2016,east
NYRB,2016,east
ORL,2016,east
PHI,2016,east
POR,2016,west
RSL,2016,west
SEA,2016,west
SJE,2016,west
SKC,2016,west
TOR,2016,east
VAN,2016,west
ATL,2017,east
CHI,2017,east
CLB,2017,east
COL,2017,west
DCU,2017,east
FCD,2017,west
HOU,2017,west
LAG,2017,west
MIN,2017,west
MTL,2017,east
NER,2017,east
NYC,2017,east
NYRB,2017,east
ORL,2017,east
PHI,2017,east
POR,2017,west
RSL,2017,west
SEA,2017,west
SJE,2017,west
SKC,2017,west
TOR,2017,east
VAN,2017,west
ATL,2018,east
CHI,2018,east
CLB,2018,east
COL,2018,west
DCU,2018,east
FCD,2018,west
HOU,2018,west
LAG,2018,west
MIN,2018,west
MTL,2018,east
NER,2018,east
NYC,2018,east
NYRB,2018,east
ORL,2018,east
PHI,2018,east
POR,2018,west
RSL,2018,west
SEA,2018,west
SJE,2018,west
SKC,2018,west
TOR,2018,east
VAN,2018,west
LAFC,2018,west
ATL,2019,east
CHI,2019,east
CLB,2019,east
COL,2019,west
DCU,2019,east
FCD,2019,west
HOU,2019,west
LAG,2019,west
MIN,2019,west
MTL,2019,east
NER,2019,east
NYC,2019,east
NYRB,2019,east
ORL,2019,east
PHI,2019,east
POR,2019,west
RSL,2019,west
SEA,2019,west
SJE,2019,west
SKC,2019,west
TOR,2019,east
VAN,2019,west
LAFC,2019,west
CIN,2019,east
ATL,2020,east
CHI,2020,east
CLB,2020,east
COL,2020,west
DCU,2020,east
FCD,2020,west
HOU,2020,west
LAG,2020,west
MIN,2020,west
MTL,2020,east
NER,2020,east
NYC,2020,east
NYRB,2020,east
ORL,2020,east
PHI,2020,east
POR,2020,west
RSL,2020,west
SEA,2020,west
SJE,2020,west
SKC,2020,west
TOR,2020,east
VAN,2020,west
LAFC,2020,west
CIN,2020,east
NSH,2020,west
MIA,2020,east
