Tab,Label,Description,Notes,,,,
xGoals: Players,Min,Minutes played (including stoppage time),"Need to add to totals, too",,,,
xGoals: Players,Shots,"Shots include those on target, off target, and blocked by defenders",,,,, 
xGoals: Players,SoT,Shots on target,,,,,
xGoals: Players,Dist,Average distance to center of goal,,,,,
xGoals: Players,Solo,Percentage of shots taken unassisted,,,,,
xGoals: Players,Goals,Goals scored,,,,,
xGoals: Players,xG,Expected goals scored (shooter model),,,,,
xGoals: Players,xPlace,Difference between keeper xG model and shooter xG model,,,,,
xGoals: Players,G-xG,Difference between goals and xG (shooter model),,,,,
xGoals: Players,KeyP,Key passes: those passes leading directly to a shot,,,,,
xGoals: Players,Assts,Primary assists,,,,,
xGoals: Players,xA,Expected goals on all key passes (shooter model),,,,,
xGoals: Players,A-xA,Difference between assists and xA,,,,,
xGoals: Players,xG+xA,Sum of xG and xA (shooter model),,,,,
xGoals: Teams,F (suffix),Statistics for the team,,,,,
xGoals: Teams,A (suffix),Statistics against the team,,,,,
xGoals: Teams,Sht,"Shots include those on target, off target, and blocked by defenders",,,,,
xGoals: Teams,SoT,Shots on target,,,,,
xGoals: Teams,SoT%,SoT / Sht,,,,,
xGoals: Teams,G,Goals,,,,,
xGoals: Teams,Finish%,G / Sht,,,,,
xGoals: Teams,GD,Goal differential,,,,,
xGoals: Teams,Pts,Team points earned,,,,,
xGoals: Teams,Solo%,Percentage of shots taken unassisted,,,,,
xGoals: Teams,xG,Expected goals scored (team model),,,,,
xGoals: Teams,xGD,Expected goal differential (team model),,,,,
xGoals: Teams,TSR,ShtF / (ShtF + ShtA),,,,,
xGoals: Teams,PDO,(Sum of save percentage and finishing percentage)*1000,,,,,
xGoals: xG by game,HxG,Expected goals earned for home team (team model),,,,,
xGoals: xG by game,AxG,Expected goals earned for away team (team model),,,,,
xGoals: xG by game,xGD,Expected goal differential (team model),,,,,
xGoals: xG by game,GD,Goal differential,,,,,
xGoals: Keepers,Shots,Shots on target faced (excluding those blocked off line),,,,,
xGoals: Keepers,Header%,Percentage of shots faced taken as headers,,,,,
xGoals: Keepers,Dist,Average distance of shot to center of goal,,,,,
xGoals: Keepers,Goals,Goals conceded,,,,,
xGoals: Keepers,xG,Expected goals faced (keeper model),,,,,
xGoals: Keepers,G-xG,Difference between goals conceded and xG (keeper model),,,,,
xPasses: Players,Pos,The position in which the player has attempted the most passes since 2015,,,,,
xPasses: Players,Passes,Passes attempted,,,,,
xPasses: Players,PassPct,Pass completion percentage,,,,,
xPasses: Players,xPassPct,Expected pass completion percentage based on xPass model,,,,,
xPasses: Players,Score,Total additional passes completed over expected: (PassPct - xPassPct)*Passes,,,,,
xPasses: Players,Per100,Additional passes completed over expected per 100 passes: Score*100/Passes,,,,,
xPasses: Players,Distance,Average distance of all completed passes,,,,,
xPasses: Players,Vertical,"Average ""vertical"" distance of all completed passes (up the field)",,,,,
