Team,First,Last,Pos,Base,Guaranteed
TFC,Sebastian,Giovinco,F,5600000,7115556
TFC,Michael,Bradley,M,6000000,6500000
LAFC,Carlos,Vela,F,4500000,6292500
CHI,Bastian,Schweinsteiger,M,6100000,6100000
LAG,Giovani,dos Santos,F,4250000,6000000
NYCFC,David,Villa,F,5610000,5610000
TFC,Jozy,Altidore,F,5000000,5000000
MTL,Ignacio,Piatti,M,500000,4713333
COL,Tim,Howard,GK,2000000,2475000
POR,Diego,Valeri,M,2320000,2380000
SEA,Nicolas,Lodeiro,M,1800000,2302500
ATL,Miguel,Almiron,M,1912500,2297000
Unassigned,Yura,Movsisyan,F,1850000,2073750
NYCFC,Maxi,Moralez,M,2000000,2000000
LAG,Jonathan,dos Santos,M,2000000,2000000
POR,Fanendo,Adi,F,1275000,1933333
CHI,Nemanja,Nikolic,F,1700000,1906333
LAG,Romain,Alessandrini,M,1539996,1869996
PHI,Borek,Dockal,M,1714286,1714286
COL,Shkelzen,Gashi,F,1575000,1668750
SEA,Clint,Dempsey,F,1100000,1650000
MIN,Darwin,Quintero,F,1650000,1650000
SKC,Felipe,Gutierrez,M,1600000,1650000
NYRB,Bradley,Wright-Phillips,F,1500000,1635000
TFC,Victor,Vazquez,M,1365000,1500000
LAG,Zlatan,Ibrahimovic,F,1500000,1500000
SJE,"Valeri ""Vako""",Qazaishvili,M,1325004,1454042
ATL,Ezequiel,Barco,M,1425000,1425000
ATL,Josef,Martinez,F,1270008,1387318
ORL,Dom,Dwyer,F,1200000,1383333
POR,Sebastian,Blanco,M,1300008,1375008
TFC,Ager,Aketxe Barrutia,M,1190000,1295000
CHI,Aleksandar,Katai,M,1140000,1276333
PHI,Alejandro,Bedoya,M,1200000,1266250
PHI,David,Accam,M-F,1250000,1250000
RSL,Alfredo,Ortuno,F,990000,1162500
SEA,Osvaldo,Alonso,M,1100000,1141667
ORL,Sacha,Kljestan,M,1025000,1100000
CLB,Federico,Higuain,M,1100000,1100000
SEA,Victor,Rodriguez,M,1000000,1087500
LAFC,Diego,Rossi,F,1000000,1052000
POR,Lucas,Melano,F,830000,1050000
RSL,Damir,Kreilach,M,900000,1013333
NER,Krisztian,Nemeth,F,900000,1007667
LAG,Jorgen,Skjelvik,D,900000,1000000
VAN,Kei,Kamara,F,1000000,1000000
DCU,Zoltan,Stieber,M,1000000,1000000
NYRB,Marc,Rzatkowski,M,885000,976167
DAL,Mauro,Diaz,M,853000,949890
LAFC,Adama,Diomande,F,850000,935000
LAG,Ola,Kamara,F,825000,925000
NER,Claude,Dielna,D,780000,909861
RSL,Albert,Rusnak,M,850008,907821
COL,Yannick,Boli,F,775000,907500
SKC,Roger,Espinoza,M,900000,900000
CLB,Jonathan,Mensah,D,774996,868996
ORL,Lamine,Sane,D,807500,855000
COL,Stefan,Aigner,M,800000,845885
TFC,Gregory,Van Der Wiel,D,800000,835000
DAL,Roland,Lamah,M,675000,818500
NYCFC,Jo Inge,Berget,F,600000,816667
MTL,Alejandro,Silva,M,800040,800040
MTL,Saphir,Taider,M,800000,800000
SJE,Chris,Wondolowski,F,800000,800000
DAL,Reto,Ziegler,D,750000,800000
CLB,Pedro,Santos,M,747600,794600
POR,Larrys,Mabiala,D,750000,793333
SKC,Matt,Besler,D,750000,783250
SKC,Graham,Zusi,D,750000,782102
DAL,Maximiliano,Urruti,F,700000,781000
NYCFC,Jesus,Medina,M,650000,770833
ATL,Hector,Villalba,F,663000,770750
VAN,Brek,Shea,D-M,700000,745000
DAL,Carlos,Gruezo,M,595000,730750
LAG,Ashley,Cole,D,450000,722500
MTL,Matteo,Mancosu,F,700000,719542
CHI,Dax,McCarty,M,700000,712500
RSL,Marcelo,Silva,D,675000,711875
MTL,Rod,Fanni,D,690000,710000
NYRB,Alejandro 'Kaku',Romero,M,709091,709091
VAN,Aly,Ghazal,M,575000,700567
ATL,Brad,Guzan,GK,640008,700008
POR,Liam,Ridgewell,D,700000,700000
SKC,Johnny,Russell,M,700000,700000
MTL,Rudy,Camacho,D,650000,699153
ATL,Leandro,Pirez,D,650004,685004
RSL,Joao,Plata,F,525000,683333
COL,Joe,Mason,F,650000,682500
SKC,Yohan,Croizet,M,650004,680004
NYRB,Daniel,Royer,M,600000,668750
LAFC,Laurent,Ciman,D,630000,661667
DCU,Luciano,Acosta,M-F,550000,652000
HOU,Alberth,Elis,F,650340,650340
SEA,Roman,Torres,D,575000,645000
MIN,Christian,Ramirez,F,575000,641250
COL,Tommy,Smith,D,600000,640000
DCU,Paul,Arriola,M,625000,639000
ORL,Jonathan,Spector,D,575004,636942
SEA,Kim,Kee-Hee,D,500004,632004
CLB,Gyasi,Zardes,F,630000,630000
