keeping_name,Season,salary_name
Josh Saunders,2011,Josh Saunders
Kasey Keller,2011,Kasey Keller
Sean Johnson,2011,Sean Johnson
Zach Thornton,2011,Zach Thornton
William Hesmer,2011,William Hesmer
Matt Pickens,2011,Matt Pickens
Pat Onstad,2011,Pat Onstad
Kevin Hartman,2011,Kevin Hartman
Tally Hall,2011,Tally Hall
Greg Sutton,2011,Greg Sutton
Faryd Mondragon,2011,Faryd Mondragon
Adin Brown,2011,Adin Brown
Nick Rimando,2011,Nick Rimando
Jon Busch,2011,Jon Busch
Jimmy Nielsen,2011,Jimmy Nielsen
Stefan Frei,2011,Stefan Frei
Jay Nolly,2011,Jay Nolly
Matt Reis,2011,Matt Reis
Alex Horwath,2011,Alex Horwath
Jake Gleeson,2011,Jake Gleeson
Joe Cannon,2011,Joe Cannon
Dan Kennedy,2011,Dan Kennedy
Bouna Coundoul,2011,Bouna Coundoul
Bobby Shuttleworth,2011,Bobby Shuttleworth
Bill Hamid,2011,Bill Hamid
Donovan Ricketts,2011,Donovan Ricketts
Kyle Reynish,2011,Kyle Reynish
Jon Conway,2011,Jon Conway
Troy Perkins,2011,Troy Perkins
Eric Kronberg,2011,Eric Kronberg
Mike Magee,2011,Mike Magee
Brian Perk,2011,Brian Perk
Frank Rost,2011,Frank Rost
Andy Gruenebaum,2011,Andy Gruenebaum
Steve Cronin,2011,Steve Cronin
Joe Willis,2011,Joe Willis
Chris Konopka,2011,Chris Konopka
Milos Kocic,2011,Milos Kocic
Zac MacMath,2011,Zac MacMath
David Bingham,2011,David Bingham
Chris Seitz,2011,Chris Seitz
Andy Gruenebaum,2012,Andy Gruenebaum
Matt Pickens,2012,Matt Pickens
Bill Hamid,2012,Bill Hamid
Josh Saunders,2012,Josh Saunders
Donovan Ricketts,2012,Donovan Ricketts
Matt Reis,2012,Matt Reis
Nick Rimando,2012,Nick Rimando
Jon Busch,2012,Jon Busch
Jimmy Nielsen,2012,Jimmy Nielsen
Joe Cannon,2012,Joe Cannon
Dan Kennedy,2012,Dan Kennedy
Kevin Hartman,2012,Kevin Hartman
Tally Hall,2012,Tally Hall
Ryan Meara,2012,Ryan Meara
Zac MacMath,2012,Zac MacMath
Troy Perkins,2012,Troy Perkins
Paolo Tornaghi,2012,Paolo Tornaghi
Michael Gspurning,2012,Michael Gspurning
Milos Kocic,2012,Milos Kocic
Brad Knighton,2012,Brad Knighton
Joe Willis,2012,Joe Willis
Sean Johnson,2012,Sean Johnson
Chris Seitz,2012,Chris Seitz
Bill Gaudette,2012,Bill Gaudette
Joe Bendik,2012,Joe Bendik
Bryan Meredith,2012,Bryan Meredith
Kyle Reynish,2012,Kyle Reynish
Brian Perk,2012,Brian Perk
Chase Harrison,2012,Chase Harrison
Greg Sutton,2012,Greg Sutton
Chris Konopka,2012,Chris Konopka
Andrew Weber,2012,Andrew Weber
David Bingham,2012,David Bingham
Evan Bush,2012,Evan Bush
Bobby Shuttleworth,2012,Bobby Shuttleworth
Freddy Hall,2012,Frederick Hall
Matt Lampson,2012,Matt Lampson
Luis Robles,2012,Luis Robles
Steward Ceus,2012,Steward Ceus
Tim Melia,2012,Tim Melia
Tyler Deric,2012,Tyler Deric
Dan Kennedy,2013,Dan Kennedy
Andy Gruenebaum,2013,Andy Gruenebaum
Steward Ceus,2013,Steward Ceus
Bill Hamid,2013,Bill Hamid
Raul Fernandez,2013,Raul Fernandez
Troy Perkins,2013,Troy Perkins
Zac MacMath,2013,Zac MacMath
Michael Gspurning,2013,Michael Gspurning
Jimmy Nielsen,2013,Jimmy Nielsen
Joe Bendik,2013,Joe Bendik
Joe Cannon,2013,Joe Cannon
Sean Johnson,2013,Sean Johnson
Carlo Cudicini,2013,Carlo Cudicini
Luis Robles,2013,Luis Robles
Donovan Ricketts,2013,Donovan Ricketts
Nick Rimando,2013,Nick Rimando
Jon Busch,2013,Jon Busch
Matt Reis,2013,Matt Reis
Matt Pickens,2013,Matt Pickens
Clint Irwin,2013,Clint Irwin
Bobby Shuttleworth,2013,Bobby Shuttleworth
Tally Hall,2013,Tally Hall
Chris Seitz,2013,Chris Seitz
Josh Saunders,2013,Josh Saunders
Paolo Tornaghi,2013,Paolo Tornaghi
Brian Rowe,2013,Brian Rowe
Joe Willis,2013,Joe Willis
Patrick McLain,2013,Patrick McLain
Brad Knighton,2013,Brad Knighton
Milos Kocic,2013,Milos Kocic
Matt Lampson,2013,Matt Lampson
Jeff Attinella,2013,Jeff Attinella
Andrew Weber,2013,Andrew Weber
David Ousted,2013,David Ousted
Marcus Hahnemann,2013,Marcus Hahnemann
Jaime Penedo,2013,Jaime Penedo
Evan Bush,2013,Evan Bush
Stefan Frei,2013,Stefan Frei
Tim Melia,2013,Tim Melia
David Bingham,2013,David Bingham
Steve Clark,2014,Steve Clark
Bill Hamid,2014,Bill Hamid
Chris Seitz,2014,Chris Seitz
Tally Hall,2014,Tally Hall
Jaime Penedo,2014,Jaime Penedo
Troy Perkins,2014,Troy Perkins
Bobby Shuttleworth,2014,Bobby Shuttleworth
Luis Robles,2014,Luis Robles
Zac MacMath,2014,Zac MacMath
Donovan Ricketts,2014,Donovan Ricketts
Nick Rimando,2014,Nick Rimando
Stefan Frei,2014,Stefan Frei
Eric Kronberg,2014,Eric Kronberg
David Ousted,2014,David Ousted
Sean Johnson,2014,Sean Johnson
Dan Kennedy,2014,Dan Kennedy
John Berner,2014,John Berner
Jon Busch,2014,Jon Busch
Julio Cesar,2014,Julio Cesar
Brian Perk,2014,Brian Perk
Andrew Weber,2014,Andrew Weber
Clint Irwin,2014,Clint Irwin
Andrew Dykstra,2014,Andrew Dykstra
Jeff Attinella,2014,Jeff Attinella
Tim Melia,2014,Tim Melia
Trevor Spangenberg,2014,Trevor Spangenberg
Raul Fernandez,2014,Raul Fernandez
