passing_name,Season,salary_name
A.J. Cochran,2015,AJ Cochran
A.J. DeLaGarza,2015,AJ DeLaGarza
A.J. DeLaGarza,2016,AJ DeLaGarza
A.J. DeLaGarza,2017,AJ DeLaGarza
A.J. DeLaGarza,2018,AJ DeLaGarza
Aaron Guillen,2016,Aaron Guillen
Aaron Guillen,2017,Aaron Guillen
Aaron Herrera,2018,Aaron Herrera
Aaron Kovar,2015,Aaron Kovar
Aaron Kovar,2016,Aaron Kovar
Aaron Kovar,2017,Aaron Kovar
Aaron Kovar,2018,Aaron Kovar
Aaron Long,2017,Aaron Long
Aaron Long,2018,Aaron Long
Aaron Maund,2015,Aaron Maund
Aaron Maund,2016,Aaron Maund
Aaron Maund,2017,Aaron Maund
Aaron Maund,2018,Aaron Maund
Aaron Schoenfeld,2015,Aaron Schoenfeld
Abdoulie Mansally,2015,Kenny Mansally
Abdoulie Mansally,2016,Kenny Mansally
Abel Aguilar,2018,Abel Aguilar
Abu Danladi,2017,Abu Danladi
Abu Danladi,2018,Abu Danladi
Adailton,2015,Adailton Filho
Adam Grinwis,2018,Adam Grinwis
Adam Henley,2018,Adam Henley
Adam Jahn,2015,Adam Jahn
Adam Jahn,2016,Adam Jahn
Adam Jahn,2017,Adam Jahn
Adam Jahn,2018,Adam Jahn
Adam Larsen Kwarasey,2015,Adam Kwarasey
Adam Larsen Kwarasey,2016,Adam Kwarasey
Adam Lundqvist,2018,Adam Lundkvist
Adam Najem,2017,Adam Najem
Adam Nemec,2015,Adam Nemec
Adama Diomande,2018,Adama Diomande
Adolfo Machado,2017,Adolfo Machado
Adolfo Machado,2018,Adolfo Machado
Adrian Arregui,2017,Adrian Arregui
Adrian Winter,2015,Adrian Winter
Adrian Winter,2016,Adrian Winter
Ager Aketxe,2018,Ager Aketxe Barrutia
Agus,2016,Agustin Garcia
Agustin Jara,2016,Agustin Jara
Ahmed Kantari,2015,Ahmed Kantari
Aidan Daniels,2018,Aidan Daniels
Alan Gordon,2015,Alan Gordon
Alan Gordon,2016,Alan Gordon
Alan Gordon,2017,Alan Gordon
Alan Gordon,2018,Alan Gordon
Albert Rusnak,2017,Albert Rusnak
Albert Rusnak,2018,Albert Rusnak
Alberth Elis,2017,Alberth Elis
Alberth Elis,2018,Alberth Elis
Alberto Quintero,2016,Alberto Quintero
Alec Kann,2015,Alec Kann
Alec Kann,2016,Alec Kann
Alec Kann,2017,Alec Kann
Alec Kann,2018,Alec Kann
Alejandro Bedoya,2016,Alejandro Bedoya
Alejandro Bedoya,2017,Alejandro Bedoya
Alejandro Bedoya,2018,Alejandro Bedoya
Alejandro Fuenmayor,2018,Alejandro Fuenmayor
Alejandro Romero Gamarra,2018,Alejandro 'Kaku' Romero
Alejandro Silva,2018,Alejandro Silva
Alejandro Zendejas,2015,Alejandro Zendejas
Aleksandar Katai,2018,Aleksandar Katai
Alex,2015,Alex Monteiro de Lima
Alex,2016,Alex Monteiro de Lima
Alex,2017,Alex Monteiro de Lima
Alex Bono,2016,Alex Bono
Alex Crognale,2017,Alex Crognale
Alex Crognale,2018,Alex Crognale
Alex Morrell,2016,Alex Morrell
Alex Muyl,2016,Alex Muyl
Alex Muyl,2017,Alex Muyl
Alex Muyl,2018,Alex Muyl
Alex Roldan,2018,Alex Roldan
Alex Tambakis,2017,Alexander Tambakis
Alexander Bono,2017,Alex Bono
Alexander Bono,2018,Alex Bono
Alexander Callens,2017,Alexander Callens
Alexander Callens,2018,Alexander Callens
Alexander Lopez,2015,Alexander Lopez
Alexander Ring,2017,Alexander Ring
Alexander Ring,2018,Alexander Ring
Alexi Gomez,2018,Alexi Gomez
Alfredo Ortuno,2018,Alfredo Ortuno
Alhaji Kamara,2016,Alhaji Kamara
Alhaji Kamara,2017,Alhaji Kamara
Ali Ghazal,2018,Ali Ghazal
Alphonso Davies,2016,Alphonso Davies
Alphonso Davies,2017,Alphonso Davies
Alphonso Davies,2018,Alphonso Davies
Alvaro Fernandez,2016,Alvaro Fernandez
Alvaro Fernandez,2017,Alvaro Fernandez
Alvaro Saborio,2015,Alvaro Saborio
Alvaro Saborio,2016,Alvaro Saborio
Alvas Powell,2015,Alvas Powell
Alvas Powell,2016,Alvas Powell
Alvas Powell,2017,Alvas Powell
Alvas Powell,2018,Alvas Powell
Ali Ghazal,2017,Ali Ghazal
Ali Ghazal,2018,Ali Ghazal
Amadou Dia,2015,Amadou Dia
Amadou Dia,2016,Amadou Dia
Ambroise Oyongo,2015,Ambroise Bitolo Oyongo
Ambroise Oyongo,2016,Ambroise Oyongo
Ambroise Oyongo,2017,Ambroise Bitolo Oyongo
Amobi Okugo,2015,Amobi Okugo
Amobi Okugo,2016,Amobi Okugo
Amobi Okugo,2017,Amobi Okugo
Amro Tarek,2016,Amro Tarek
Amro Tarek,2018,Amro Tarek
Anatole Bertrand Abang,2015,Anatole Abang
Anatole Bertrand Abang,2016,Anatole Abang
Anderson Conceicao,2016,Anderson Conceicao
Andoni Iraola,2015,Andoni Iraola
Andoni Iraola,2016,Andoni Iraola
Andraz Struna,2017,Andraz Struna
Andre Blake,2015,Andre Blake
Andre Blake,2016,Andre Blake
Andre Blake,2017,Andre Blake
Andre Blake,2018,Andre Blake
Andre Horta,2018,Andre Horta
Andrea Pirlo,2015,Andrea Pirlo
Andrea Pirlo,2016,Andrea Pirlo
Andrea Pirlo,2017,Andrea Pirlo
Andreas Ivan,2018,Andreas Ivanschitz
Andreas Ivanschitz,2015,Andreas Ivanschitz
Andreas Ivanschitz,2016,Andreas Ivanschitz
Andres Flores,2018,Andres Flores
Andres Imperiale,2016,Andres Imperiale
Andres Imperiale,2017,Andres Imperiale
Andres Romero,2015,Andres Romero
Andres Romero,2017,Andres Romero
Andreu Fontas,2018,Andreu Fontas
Andrew Carleton,2017,Andrew Carleton
Andrew Carleton,2018,Andrew Carleton
Andrew Dykstra,2015,Andrew Dykstra
Andrew Dykstra,2016,Andrew Dykstra
Andrew Dykstra,2017,Andrew Dykstra
Andrew Farrell,2015,Andrew Farrell
Andrew Farrell,2016,Andrew Farrell
Andrew Farrell,2017,Andrew Farrell
Andrew Farrell,2018,Andrew Farrell
Andrew Jacobson,2015,Andrew Jacobson
Andrew Jacobson,2016,Andrew Jacobson
Andrew Jacobson,2017,Andrew Jacobson
Andrew Putna,2018,Andrew Putna
Andrew Tarbell,2016,Andrew Tarbell
Andrew Tarbell,2017,Andrew Tarbell
Andrew Tarbell,2018,Andrew Tarbell
Andrew Weber,2015,Andrew Weber
Andrew Wenger,2015,Andrew Wenger
Andrew Wenger,2016,Andrew Wenger
Andrew Wenger,2017,Andrew Wenger
Andrew Wenger,2018,Andrew Wenger
Andrew Wheeler-Omiunu,2018,Andrew Wheeler-Omiunu
Andy Craven,2015,Andy Craven
Andy Dorman,2015,Andy Dorman
Andy Polo,2018,Andy Polo
Andy Rose,2015,Andy Rose
Angelino,2015,Angelino
