shooting_name,Season,salary_name
A.J. Cochran,2014,AJ Cochran
A.J. Cochran,2015,AJ Cochran
A.J. DeLaGarza,2011,AJ DeLaGarza
A.J. DeLaGarza,2012,AJ DeLaGarza
A.J. DeLaGarza,2013,AJ DeLaGarza
A.J. DeLaGarza,2014,AJ DeLaGarza
A.J. DeLaGarza,2015,AJ DeLaGarza
A.J. DeLaGarza,2016,AJ DeLaGarza
A.J. DeLaGarza,2017,AJ DeLaGarza
A.J. DeLaGarza,2018,AJ DeLaGarza
A.J. Soares,2011,AJ Soares
A.J. Soares,2012,AJ Soares
A.J. Soares,2013,AJ Soares
A.J. Soares,2014,AJ Soares
Aaron Guillen,2017,Aaron Guillen
Aaron Herrera,2018,Aaron Herrera
Aaron Kovar,2015,Aaron Kovar
Aaron Kovar,2016,Aaron Kovar
Aaron Kovar,2017,Aaron Kovar
Aaron Kovar,2018,Aaron Kovar
Aaron Long,2017,Aaron Long
Aaron Long,2018,Aaron Long
Aaron Maund,2012,Aaron Maund
Aaron Maund,2013,Aaron Maund
Aaron Maund,2014,Aaron Maund
Aaron Maund,2015,Aaron Maund
Aaron Maund,2016,Aaron Maund
Aaron Maund,2017,Aaron Maund
Aaron Maund,2018,Aaron Maund
Aaron Schoenfeld,2012,Aaron Schoenfeld
Aaron Schoenfeld,2013,Aaron Schoenfeld
Aaron Schoenfeld,2014,Aaron Schoenfeld
Aaron Schoenfeld,2015,Aaron Schoenfeld
Aaron Wheeler,2013,Aaron Wheeler
Aaron Wheeler,2014,Aaron Wheeler
Abdoulie Mansally,2011,Kenny Mansally
Abdoulie Mansally,2012,Kenny Mansally
Abdoulie Mansally,2013,Kenny Mansally
Abdoulie Mansally,2014,Kenny Mansally
Abdoulie Mansally,2015,Kenny Mansally
Abdoulie Mansally,2016,Kenny Mansally
Abel Aguilar,2018,Abel Aguilar
Abu Danladi,2017,Abu Danladi
Abu Danladi,2018,Abu Danladi
Adailton,2015,Adailton Filho
Adam Bedell,2014,Adam Bedell
Adam Cristman,2011,Adam Cristman
Adam Cristman,2012,Adam Cristman
Adam Henley,2018,Adam Henley
Adam Jahn,2013,Adam Jahn
Adam Jahn,2014,Adam Jahn
Adam Jahn,2015,Adam Jahn
Adam Jahn,2016,Adam Jahn
Adam Jahn,2017,Adam Jahn
Adam Jahn,2018,Adam Jahn
Adam Johansson,2012,Adam Johansson
Adam Larsen Kwarasey,2015,Adam Kwarasey
Adam Lundqvist,2018,Adam Lundkvist
Adam Moffat,2011,Adam Moffat
Adam Moffat,2012,Adam Moffat
Adam Moffat,2013,Adam Moffat
Adam Moffat,2014,Adam Moffat
Adam Najem,2017,Adam Najem
Adam Nemec,2015,Adam Nemec
Adama Diomande,2018,Adama Diomande
Adolfo Bautista,2014,Adolfo Bautista
Adolfo Machado,2017,Adolfo Machado
Adolfo Machado,2018,Adolfo Machado
Adrian Arregui,2017,Adrian Arregui
Adrian Cann,2011,Adrian Cann
Adrian Cann,2012,Adrian Cann
Adrian Winter,2015,Adrian Winter
Adrian Winter,2016,Adrian Winter
Ager Aketxe,2018,Ager Aketxe Barrutia
Agus,2016,Agus
Agustin Pelletieri,2014,Agustin Pelletieri
Agustin Viana,2013,Agustin Viana
Agustin Viana,2014,Agustin Viana
Ahmed Kantari,2015,Ahmed Kantari
Aidan Daniels,2018,Aidan Daniels
Akira Kaji,2014,Akira Kaji
Alain Rochat,2011,Alain Rochat
Alain Rochat,2012,Alain Rochat
Alain Rochat,2013,Alain Rochat
Alan Gordon,2011,Alan Gordon
Alan Gordon,2012,Alan Gordon
Alan Gordon,2013,Alan Gordon
Alan Gordon,2014,Alan Gordon
Alan Gordon,2015,Alan Gordon
Alan Gordon,2016,Alan Gordon
Alan Gordon,2017,Alan Gordon
Alan Gordon,2018,Alan Gordon
Albert Rusnak,2017,Albert Rusnak
Albert Rusnak,2018,Albert Rusnak
Alberth Elis,2017,Alberth Elis
Alberth Elis,2018,Alberth Elis
Alberto Quintero,2016,Alberto Quintero
Alec Kann,2017,Alec Kann
Alec Purdie,2012,Alec Purdie
Alejandro Bedoya,2016,Alejandro Bedoya
Alejandro Bedoya,2017,Alejandro Bedoya
Alejandro Bedoya,2018,Alejandro Bedoya
Alejandro Fuenmayor,2018,Alejandro Fuenmayor
Alejandro Moreno,2011,Alejandro Moreno
Alejandro Moreno,2012,Alejandro Moreno
Alejandro Romero Gamarra,2018,Alejandro 'Kaku' Romero
Alejandro Silva,2018,Alejandro Silva
Alejandro Zendejas,2015,Alejandro Zendejas
Aleksandar Katai,2018,Aleksandar Katai
Alen Stevanovic,2011,Alen Stevanovic
Alessandro Nesta,2012,Alessandro Nesta
Alessandro Nesta,2013,Alessandro Nesta
Alex,2012,Alex
Alex,2013,Alex
Alex,2014,Alex
Alex,2015,Alex Monteiro de Lima
Alex,2016,Alex Monteiro de Lima
Alex,2017,Alex Monteiro de Lima
Alex Bono,2016,Alex Bono
Alex Caskey,2012,Alex Caskey
Alex Caskey,2013,Alex Caskey
Alex Caskey,2014,Alex Caskey
Alex Crognale,2017,Alex Crognale
Alex Crognale,2018,Alex Crognale
Alex Dixon,2011,Alex Dixon
Alex Dixon,2012,Alex Dixon
Alex Dixon,2013,Alex Dixon
Alex Martinez,2014,Alex Martinez
Alex Morrell,2016,Alex Morrell
Alex Muyl,2016,Alex Muyl
Alex Muyl,2017,Alex Muyl
Alex Muyl,2018,Alex Muyl
Alex Roldan,2018,Alex Roldan
Alexander Bono,2017,Alex Bono
Alexander Callens,2017,Alexander Callens
Alexander Callens,2018,Alexander Callens
Alexander Lopez,2013,Alexander Lopez
Alexander Lopez,2014,Alexander Lopez
Alexander Lopez,2015,Alexander Lopez
Alexander Ring,2017,Alexander Ring
Alexander Ring,2018,Alexander Ring
Alexandre Morfaw,2011,Alexandre Morfaw
Alexi Gomez,2018,Alexi Gomez
Alhaji Kamara,2016,Alhaji Kamara
Alhaji Kamara,2017,Alhaji Kamara
Ali Ghazal,2017,Ali Ghazal
Ali Ghazal,2018,Ali Ghazal
Alphonso Davies,2016,Alphonso Davies
Alphonso Davies,2017,Alphonso Davies
Alphonso Davies,2018,Alphonso Davies
Alvaro Fernandez,2011,Alvaro Fernandez
Alvaro Fernandez,2012,Alvaro Fernandez
Alvaro Fernandez,2016,Alvaro Fernandez
Alvaro Fernandez,2017,Alvaro Fernandez
Alvaro Rey,2013,Alvaro Rey
Alvaro Rey,2014,Alvaro Rey
Alvaro Saborio,2011,Alvaro Saborio
Alvaro Saborio,2012,Alvaro Saborio
Alvaro Saborio,2013,Alvaro Saborio
Alvaro Saborio,2014,Alvaro Saborio
Alvaro Saborio,2015,Alvaro Saborio
Alvaro Saborio,2016,Alvaro Saborio
Alvas Powell,2013,Alvas Powell
Alvas Powell,2014,Alvas Powell
Alvas Powell,2015,Alvas Powell
Alvas Powell,2016,Alvas Powell
Alvas Powell,2017,Alvas Powell
Alvas Powell,2018,Alvas Powell
Amadou Dia,2015,Amadou Dia
Amadou Dia,2016,Amadou Dia
Ambroise Oyongo,2014,Ambroise Oyongo
Ambroise Oyongo,2015,Ambroise Oyongo
Ambroise Oyongo,2016,Ambroise Oyongo
Ambroise Oyongo,2017,Ambroise Oyongo
Amobi Okugo,2011,Amobi Okugo
Amobi Okugo,2012,Amobi Okugo
Amobi Okugo,2013,Amobi Okugo
Amobi Okugo,2014,Amobi Okugo
Amobi Okugo,2015,Amobi Okugo
Amobi Okugo,2017,Amobi Okugo
Amro Tarek,2018,Amro Tarek
Anatole Bertrand Abang,2015,Anatole Abang
Anatole Bertrand Abang,2016,Anatole Abang
Anderson Conceicao,2016,Anderson Conceicao
Andoni Iraola,2015,Andoni Iraola
Andoni Iraola,2016,Andoni Iraola
Andraz Struna,2017,Andraz Struna
Andre Akpan,2011,Andre Akpan
Andre Akpan,2012,Andre Akpan
