Original,Convert
TORONTO FC,TOR
HOUSTON DYNAMO,HOU
PHILADELPHIA UNION,PHI
ORLANDO CITY SC,ORL
FC DALLAS,FCD
SAN JOSE EARTHQUAKES,SJE
SEATTLE SOUNDERS FC,SEA
VANCOUVER WHITECAPS FC,VAN
SPORTING KANSAS CITY,SKC
LOS ANGELES GALAXY,LAG
COLUMBUS CREW SC,CLB
NEW ENGLAND REVOLUTION,NER
REAL SALT LAKE,RSL
CHICAGO FIRE,CHI
NEW YORK RED BULLS,NYRB
ATLANTA UNITED FC,ATL
NEW YORK CITY FC,NYC
D.C. UNITED,DCU
MINNESOTA UNITED FC,MIN
MONTREAL IMPACT,MTL
COLORADO RAPIDS,COL
PORTLAND TIMBERS,POR
LOS ANGELES FC,LAFC
