Original,Convert
ATL,Atlanta United FC
ATLAtlanta United FC,Atlanta United FC
CHI,Chicago Fire
CHIChicago Fire,Chicago Fire
COL,Colorado Rapids
COLColorado Rapids,Colorado Rapids
CLB,Columbus Crew SC
CLBColumbus Crew SC,Columbus Crew SC
DCU,D.C. United
DCD.C. United,D.C. United
FCD,FC Dallas
DALFC Dallas,FC Dallas
HOU,Houston Dynamo
HOUHouston Dynamo,Houston Dynamo
LAG,LA Galaxy
LALA Galaxy,LA Galaxy
LAFC,Los Angeles Football Club
LAFCLos Angeles Football Club,Los Angeles Football Club
MIN,Minnesota United FC
MINMinnesota United FC,Minnesota United FC
MTL,Montreal Impact
MTLMontreal Impact,Montreal Impact
NER,New England Revolution
NENew England Revolution,New England Revolution
NYC,New York City FC
NYCNew York City FC,New York City FC
NYRB,New York Red Bulls
RBNYNew York Red Bulls,New York Red Bulls
ORL,Orlando City SC
ORLOrlando City SC,Orlando City SC
PHI,Philadelphia Union
PHIPhiladelphia Union,Philadelphia Union
POR,Portland Timbers
PORPortland Timbers,Portland Timbers
RSL,Real Salt Lake
RSLReal Salt Lake,Real Salt Lake
SJE,San Jose Earthquakes
SJSan Jose Earthquakes,San Jose Earthquakes
SEA,Seattle Sounders FC
SEASeattle Sounders FC,Seattle Sounders FC
SKC,Sporting Kansas City
SKCSporting Kansas City,Sporting Kansas City
TOR,Toronto FC
TORToronto FC,Toronto FC
VAN,Vancouver Whitecaps FC
VANVancouver Whitecaps FC,Vancouver Whitecaps FC
