Original,Convert
Atlanta United FC,ATL
Chicago Fire,CHI
Colorado Rapids,COL
Columbus Crew SC,CLB
D.C. United,DCU
FC Dallas,FCD
Houston Dynamo,HOU
LA Galaxy,LAG
Los Angeles Football Club,LAFC
Minnesota United FC,MIN
Montreal Impact,MTL
New England Revolution,NER
New York City FC,NYC
New York Red Bulls,NYRB
Orlando City SC,ORL
Philadelphia Union,PHI
Portland Timbers,POR
Real Salt Lake,RSL
San Jose Earthquakes,SJE
Seattle Sounders FC,SEA
Sporting Kansas City,SKC
Toronto FC,TOR
Vancouver Whitecaps FC,VAN
