"Minute","HomeLead","playerdiff","ActWin","ActTie","ActLose","Games","Win","Tie","Lose","HomexG","AwayxG","xGD","xPts"
0,-3,"Home",NA,NA,NA,0,0.370568312938155,0.245459247620357,0.383972439441488,NA,NA,NA,1.35716418643482
5,-3,"Home",NA,NA,NA,0,0.323117607928084,0.253400084483067,0.423482307588849,NA,NA,NA,1.22275290826732
10,-3,"Home",NA,NA,NA,0,0.277894615474137,0.261438521789757,0.460666862736106,NA,NA,NA,1.09512236821217
15,-3,"Home",NA,NA,NA,0,0.234716184707589,0.272387537069206,0.492896278223205,NA,NA,NA,0.976536091191973
20,-3,"Home",NA,NA,NA,0,0.193715009835021,0.289371432353185,0.516913557811794,NA,NA,NA,0.870516461858248
25,-3,"Home",NA,NA,NA,0,0.155351971032716,0.313489583470321,0.531158445496963,NA,NA,NA,0.779545496568469
30,-3,"Home",NA,NA,NA,0,0.120340240387942,0.33524440532979,0.544415354282269,NA,NA,NA,0.696265126493615
35,-3,"Home",NA,NA,NA,0,0.0894940509997575,0.340348533445988,0.570157415554254,NA,NA,NA,0.608830686445261
40,-3,"Home",NA,NA,NA,0,0.0635125931962529,0.314138746191801,0.622348660611946,NA,NA,NA,0.50467652578056
45,-3,"Home",NA,NA,NA,0,0.0429796670456574,0.253235638611881,0.703784694342462,NA,NA,NA,0.382174639748853
50,-3,"Home",NA,NA,NA,0,0.0282908208425071,0.184680591885243,0.78702858727225,NA,NA,NA,0.269553054412764
55,-3,"Home",NA,NA,NA,0,0.0185947034229386,0.132727433911668,0.848677862665394,NA,NA,NA,0.188511544180483
60,-3,"Home",NA,NA,NA,0,0.0121057926724988,0.100618792490523,0.887275414836978,NA,NA,NA,0.136936170508019
65,-3,"Home",NA,NA,NA,0,0.00673144922427482,0.0723380532414866,0.920930497534239,NA,NA,NA,0.092532400914311
70,-3,"Home",NA,NA,NA,0,0.00265543338439039,0.0415638998782427,0.955780666737367,NA,NA,NA,0.0495302000314139
75,-3,"Home",NA,NA,NA,0,0.000616924059104947,0.0158362465961317,0.983546829344763,NA,NA,NA,0.0176870187734465
80,-3,"Home",NA,NA,NA,0,7.45469855042518e-05,0.00350808160738862,0.996417371407107,NA,NA,NA,0.00373172256390138
85,-3,"Home",NA,NA,NA,0,5.27530863137428e-06,0.000497827134490121,0.999496897556879,NA,NA,NA,0.000513653060384244
90,-3,"Home",0,0,1,1,2.61369187943208e-07,5.27077545083246e-05,0.999947030876304,0.20446656235319,0,0.20446656235319,5.34918620721542e-05
95,-3,"Home",NA,NA,NA,0,1.08359540232414e-08,4.82460395709553e-06,0.999995164560089,NA,NA,NA,4.85711181916525e-06
0,-2,"Home",NA,NA,NA,0,0.572324768054367,0.261186996942478,0.166488235003155,NA,NA,NA,1.97816130110558
5,-2,"Home",NA,NA,NA,0,0.528014389514276,0.281406136087643,0.190579474398081,NA,NA,NA,1.86544930463047
10,-2,"Home",NA,NA,NA,0,0.482102664634771,0.302172099352555,0.215725236012674,NA,NA,NA,1.74848009325687
15,-2,"Home",NA,NA,NA,0,0.434216081969388,0.325002091437293,0.240781826593319,NA,NA,NA,1.62765033734546
20,-2,"Home",NA,NA,NA,0,0.384237029412851,0.351674382721553,0.264088587865596,NA,NA,NA,1.5043854709601
25,-2,"Home",1,0,0,1,0.33253071779828,0.382861519103802,0.284607763097919,1.61888722678334,0.052054416584755,1.56683281019858,1.38045367249864
30,-2,"Home",1,0,0,1,0.28022339240625,0.413404529186505,0.306372078407245,1.49611311476995,0.052054416584755,1.4440586981852,1.25407470640525
35,-2,"Home",NA,NA,NA,0,0.228940326590717,0.434830831803311,0.336228841605972,NA,NA,NA,1.12165181157546
40,-2,"Home",NA,NA,NA,0,0.180563132117829,0.436460976280708,0.382975891601464,NA,NA,NA,0.978150372634194
45,-2,"Home",NA,NA,NA,0,0.137314429441865,0.409794570278449,0.452891000279686,NA,NA,NA,0.821737858604043
50,-2,"Home",NA,NA,NA,0,0.101838964336913,0.364174771782582,0.533986263880505,NA,NA,NA,0.669691664793321
55,-2,"Home",NA,NA,NA,0,0.0748957079532558,0.317908869014134,0.60719542303261,NA,NA,NA,0.542595992873902
60,-2,"Home",0,1,0,1,0.0543266530945873,0.282585149785644,0.663088197119769,1.95564306356654,0.0134050477620414,1.94223801580449,0.445565109069406
65,-2,"Home",0,1,0,1,0.0350951823684666,0.244368678157636,0.720536139473897,1.95564306356654,0.0134050477620414,1.94223801580449,0.349654225263036
70,-2,"Home",0,0.5,0.5,2,0.0176768675160851,0.1876121339608,0.794710998523115,1.28118985346821,0.0432161644213264,1.23797368904688,0.240642736509055
75,-2,"Home",0,0.5,0.5,2,0.00605631312264112,0.113248345630149,0.88069534124721,1.28118985346821,0.0432161644213264,1.23797368904688,0.131417284998072
80,-2,"Home",0,0,1,3,0.00128991230188817,0.0481912899329555,0.950518797765156,0.928331768955795,0.0404215071576206,0.887910261798174,0.05206102683862
85,-2,"Home",0,0,1,2,0.000186467437933246,0.0150655768620035,0.984747955700063,0.668395157677523,0.0241186201961252,0.644276537481398,0.0156249791758032
90,-2,"Home",0,0,1,3,2.08495910847898e-05,0.00384766826868791,0.996131482140227,0.521469616576683,0.02289036347329,0.498579253103393,0.00391021704194227
95,-2,"Home",0,0,1,2,2.05096377189193e-06,0.000891244429310336,0.999106704606918,0.371040187604846,0,0.371040187604846,0.000897397320626012
0,-1,"Home",NA,NA,NA,0,0.75258828968992,0.196398607067054,0.0510131032430267,NA,NA,NA,2.45416347613681
5,-1,"Home",NA,NA,NA,0,0.723888228115469,0.216652421985891,0.0594593498986402,NA,NA,NA,2.3883171063323
10,-1,"Home",NA,NA,NA,0,0.692469356327118,0.238534232421334,0.0689964112515481,NA,NA,NA,2.31594230140269
15,-1,"Home",1,0,0,1,0.657580326418744,0.262727971237615,0.079691702343641,2.23789794216242,0.196284076559357,2.04161386560306,2.23546895049385
20,-1,"Home",NA,NA,NA,0,0.618419279534111,0.290024121480248,0.0915565989856411,NA,NA,NA,2.14528196008258
25,-1,"Home",NA,NA,NA,0,0.5743702591273,0.320952942166506,0.104676798706193,NA,NA,NA,2.04406371954841
30,-1,"Home",0,1,0,1,0.525603726696175,0.354502138514275,0.11989413478955,1.3099599897186,0.535290589380271,0.774669400338334,1.9313133186028
35,-1,"Home",0.5,0.5,0,4,0.472831664697985,0.388506565967725,0.13866176933429,1.81913417625159,0.427218790175345,1.39191538607625,1.80700156006168
40,-1,"Home",0.4,0.4,0.2,5,0.417224913733801,0.419675354969974,0.163099731296224,1.72502323889167,0.345589310787326,1.37943392810434,1.67135009617138
45,-1,"Home",0.4,0.4,0.2,5,0.360670248213387,0.444139105290109,0.195190646496504,1.69959068400086,0.296361458367588,1.40322922563327,1.52614984993027
50,-1,"Home",0.5,0.25,0.25,4,0.306317115247632,0.461068467109512,0.232614417642856,1.74920376714284,0.221737767592186,1.52746599955066,1.38001981285241
55,-1,"Home",0.25,0.25,0.5,4,0.257020797827174,0.473079009991282,0.269900192181544,1.40343554932515,0.256104343008631,1.14733120631652,1.2441414034728
60,-1,"Home",0,0.25,0.75,4,0.212173597839744,0.484994600150522,0.302831802009734,0.944234171599008,0.183015898268959,0.761218273330049,1.12151539366975
65,-1,"Home",0,0.5,0.5,6,0.163321316660481,0.497163288769435,0.339515394570084,0.879728044710903,0.148669630288009,0.731058414422894,0.987127238750877
70,-1,"Home",0,0.75,0.25,4,0.10843393458553,0.500798924899722,0.390767140514748,0.838547149675119,0.0341425564995242,0.804404593175594,0.826100728656313
75,-1,"Home",0,0.6,0.4,5,0.0567320459623029,0.477907907225977,0.46536004681172,0.598253558645743,0.0212734758063637,0.576980082839379,0.648104045112886
80,-1,"Home",0,0.333333333333333,0.666666666666667,6,0.0218861041745821,0.412765532143825,0.565348363681593,0.649765651479314,0.00223417462700689,0.647531476852307,0.478423844667571
85,-1,"Home",0,0.142857142857143,0.857142857142857,7,0.00655033766820588,0.317596939570978,0.675852722760817,0.405716837230045,0.040766996625932,0.364949840604113,0.337247952575595
90,-1,"Home",0,0,1,7,0.00166049261783187,0.220241317886901,0.778098189495267,0.128810347003172,0,0.128810347003172,0.225222795740397
95,-1,"Home",0,0,1,5,0.000388044956107882,0.14152619654316,0.858085758500732,0,0,0,0.142690331411484
0,0,"Home",NA,NA,NA,0,0.87364586543819,0.114260652041621,0.0120934825201892,NA,NA,NA,2.73519824835619
5,0,"Home",NA,NA,NA,0,0.860023775645008,0.125966612449741,0.0140096119052509,NA,NA,NA,2.70603793938477
10,0,"Home",NA,NA,NA,0,0.844880372842989,0.138847542919939,0.0162720842370715,NA,NA,NA,2.67348866144891
