Team,Season,Conf
ATL,2017,east
CHI,2011,east
CHI,2012,east
CHI,2013,east
CHI,2014,east
CHI,2015,east
CHI,2016,east
CHI,2017,east
CHV,2011,west
CHV,2012,west
CHV,2013,west
CHV,2014,west
CLB,2011,east
CLB,2012,east
CLB,2013,east
CLB,2014,east
CLB,2015,east
CLB,2016,east
CLB,2017,east
COL,2011,west
COL,2012,west
COL,2013,west
COL,2014,west
COL,2015,west
COL,2016,west
COL,2017,west
DCU,2011,east
DCU,2012,east
DCU,2013,east
DCU,2014,east
DCU,2015,east
DCU,2016,east
DCU,2017,east
FCD,2011,west
FCD,2012,west
FCD,2013,west
FCD,2014,west
FCD,2015,west
FCD,2016,west
FCD,2017,west
HOU,2011,east
HOU,2012,east
HOU,2013,east
HOU,2014,east
HOU,2015,west
HOU,2016,west
HOU,2017,west
LAG,2011,west
LAG,2012,west
LAG,2013,west
LAG,2014,west
LAG,2015,west
LAG,2016,west
LAG,2017,west
MIN,2017,west
MTL,2012,east
MTL,2013,east
MTL,2014,east
MTL,2015,east
MTL,2016,east
MTL,2017,east
NER,2011,east
NER,2012,east
NER,2013,east
NER,2014,east
NER,2015,east
NER,2016,east
NER,2017,east
NYC,2015,east
NYC,2016,east
NYC,2017,east
NYRB,2011,east
NYRB,2012,east
NYRB,2013,east
NYRB,2014,east
NYRB,2015,east
NYRB,2016,east
NYRB,2017,east
ORL,2015,east
ORL,2016,east
ORL,2017,east
PHI,2011,east
PHI,2012,east
PHI,2013,east
PHI,2014,east
PHI,2015,east
PHI,2016,east
PHI,2017,east
POR,2011,west
POR,2012,west
POR,2013,west
POR,2014,west
POR,2015,west
POR,2016,west
POR,2017,west
RSL,2011,west
RSL,2012,west
RSL,2013,west
RSL,2014,west
RSL,2015,west
RSL,2016,west
RSL,2017,west
SEA,2011,west
SEA,2012,west
SEA,2013,west
SEA,2014,west
SEA,2015,west
SEA,2016,west
SEA,2017,west
SJE,2011,west
SJE,2012,west
SJE,2013,west
SJE,2014,west
SJE,2015,west
SJE,2016,west
SJE,2017,west
SKC,2011,east
SKC,2012,east
SKC,2013,east
SKC,2014,east
SKC,2015,west
SKC,2016,west
SKC,2017,west
TOR,2011,east
TOR,2012,east
TOR,2013,east
TOR,2014,east
TOR,2015,east
TOR,2016,east
TOR,2017,east
VAN,2011,west
VAN,2012,west
VAN,2013,west
VAN,2014,west
VAN,2015,west
VAN,2016,west
VAN,2017,west
